firstName lastName Age Country Year Sport Gold Silver Bronze
Michael Phelps 23 USA 2008 Swimming 8 0 0
Usain Bolt 25 Jamaica 2012 Athletics 3 0 0
Allyson Felix 26 USA 2012 Athletics 3 0 0
Michael Greis 29 Germany 2006 Biathlon 3 0 0
Catalina Ponor 16 Romania 2004 Gymnastics 3 0 0
Nathan Adrian 23 USA 2012 Swimming 2 1 0
Gabby Douglas 16 USA 2012 Gymnastics 2 0 0
Sven Fischer 34 Germany 2006 Biathlon 2 0 1
Doina Ignat 31 Romania 2000 Rowing 2 0 0
Aleksey Nemov 24 Russia 2000 Gymnastics 2 1 3
Xiong Ni 26 China 2000 Diving 2 0 0
Serena Williams 30 USA 2012 Tennis 2 0 0
Sun Yang 20 China 2012 Swimming 2 1 1
Yelena Zamolodchikova 17 Russia 2000 Gymnastics 2 1 0
Feng Zhe 24 China 2012 Gymnastics 2 0 0
Luc Abalo 27 France 2012 Handball 1 0 0
William Accambray 24 France 2012 Handball 1 0 0
Albina Akhatova 29 Russia 2006 Biathlon 1 0 2
Ida Alstad 27 Norway 2012 Handball 1 0 0
Nataliya Antyukh 31 Russia 2012 Athletics 1 1 0
Sandra Auffarth 25 Germany 2012 Equestrian 1 0 1
Yohan Blake 22 Jamaica 2012 Athletics 1 2 0
Natalie Coughlin 25 USA 2008 Swimming 1 2 3
Alicia Coutts 24 Australia 2012 Swimming 1 3 1
Kirsty Coventry 24 Zimbabwe 2008 Swimming 1 3 0
Lyubov Galkina 31 Russia 2004 Shooting 1 1 0
Mariya Grozdeva 32 Bulgaria 2004 Shooting 1 0 1
Sandra Izbasa 22 Romania 2012 Gymnastics 1 0 1
Carmelita Jeter 32 USA 2012 Athletics 1 1 1
Svetlana Khorkina 21 Russia 2000 Gymnastics 1 2 0
Jens Lehmann 32 Germany 2000 Cycling 1 1 0
Gao Ling 25 China 2004 Badminton 1 1 0
Nastia Liukin 18 USA 2008 Gymnastics 1 3 1
Tao Luna 26 China 2000 Shooting 1 1 0
Courtney Mathewson 25 USA 2012 Waterpolo 1 0 0
Mikhail Nestruyev 35 Russia 2004 Shooting 1 1 0
Lin Qingfeng 23 China 2012 Weightlifting 1 0 0
Mark Reynolds 44 USA 2000 Sailing 1 0 0
Dmitry Sautin 26 Russia 2000 Diving 1 1 2
Kate Starre 28 Australia 2000 Hockey 1 0 0
Viorica Susanu 32 Romania 2008 Rowing 1 0 1
Regla Torres 25 Cuba 2000 Volleyball 1 0 0
Julie Towers 23 Australia 2000 Hockey 1 0 0
Giovanna Trillini 30 Italy 2000 Fencing 1 0 1
Stephan Veen 30 Netherlands 2000 Hockey 1 0 0
Kati Wilhelm 29 Germany 2006 Biathlon 1 2 0
Peter Wind 27 Netherlands 2000 Hockey 1 0 0
Lu Xiaojun 28 China 2012 Weightlifting 1 0 0
Li Xueying 22 China 2012 Weightlifting 1 0 0
Yu Yang 22 China 2008 Badminton 1 0 1
Chen Yibing 27 China 2012 Gymnastics 1 1 0
Macarena Aguilar 27 Spain 2012 Handball 0 0 1
Nely Alberto 29 Spain 2012 Handball 0 0 1
Artur Aleksanyan 20 Armenia 2012 Wrestling 0 0 1
Mirko Alilovic 26 Croatia 2012 Handball 0 0 1
Jessica Alonso 28 Spain 2012 Handball 0 0 1
Kim Andersson 29 Sweden 2012 Handball 0 1 0
Mattias Andersson 34 Sweden 2012 Handball 0 1 0
Valeriy Andriitsev 25 Ukraine 2012 Wrestling 0 1 0
Igor Basinsky 37 Belarus 2000 Shooting 0 1 1
Vivian Cheruiyot 28 Kenya 2012 Athletics 0 1 1
Kim Crow 26 Australia 2012 Rowing 0 1 1
Daniyal Gadzhiyev 26 Kazakhstan 2012 Wrestling 0 0 1
Komeil Ghasemi 24 Iran 2012 Wrestling 0 0 1
Giorgi Gogshelidze 32 Georgia 2012 Wrestling 0 0 1
Sadegh Goudarzi 24 Iran 2012 Wrestling 0 1 0
Lu Haojie 21 China 2012 Weightlifting 0 1 0
Aleksandr Ivanov 23 Russia 2012 Weightlifting 0 1 0
Yuliya Kalina 23 Ukraine 2012 Weightlifting 0 0 1
Tatyana Kashirina 21 Russia 2012 Weightlifting 0 1 0
Hripsime Khurshudyan 25 Armenia 2012 Weightlifting 0 0 1
Wiradech Kothny 21 Germany 2000 Fencing 0 0 2
Irina Kulesha 26 Belarus 2012 Weightlifting 0 0 1
Yekaterina Lobaznyuk 17 Russia 2000 Gymnastics 0 2 1
Alicia McCormack 29 Australia 2012 Waterpolo 0 0 1
Bob Merrick 29 USA 2000 Sailing 0 1 0
Ona Meseguer 24 Spain 2012 Waterpolo 0 1 0
Lorena Miranda 21 Spain 2012 Waterpolo 0 1 0
Stefan Mitrovic 24 Serbia 2012 Waterpolo 0 0 1
Anne Montminy 25 Canada 2000 Diving 0 1 1
Jane Moran 27 Australia 2012 Waterpolo 0 0 1
Gary Neiwand 34 Australia 2000 Cycling 0 1 1
Hugues Obry 27 France 2000 Fencing 0 2 0
Olena Pakholchyk 35 Ukraine 2000 Sailing 0 0 1
Simone Rosalba 24 Italy 2000 Volleyball 0 0 1
Inessa Sargsyan 28 Russia 2000 Volleyball 0 1 0
Ilya Savelyev 29 Russia 2000 Volleyball 0 1 0
Guo Shuang 26 China 2012 Cycling 0 2 1
Igor Shulepov 27 Russia 2000 Volleyball 0 1 0
Mika Sugimoto 27 Japan 2012 Judo 0 1 0
Audrey Tcheumeo 22 France 2012 Judo 0 0 1
Margje Teeuwen 26 Netherlands 2000 Hockey 0 0 1
Carole Thate 28 Netherlands 2000 Hockey 0 0 1
Daphne Touw 30 Netherlands 2000 Hockey 0 0 1
Yelena Vasilevskaya 22 Russia 2000 Volleyball 0 1 0
Myrna Veenstra 25 Netherlands 2000 Hockey 0 0 1
Craig Victory 20 Australia 2000 Hockey 0 0 1
Todd Woodbridge 29 Australia 2000 Tennis 0 1 0
Vic Wunderle 24 USA 2000 Archery 0 1 1
Michael York 32 Australia 2000 Hockey 0 0 1
